Compound	InChI-Key
acrylate	InChIKey=NIXOWILDQLNWCW-UHFFFAOYSA-M
(3<i>S</i>)-2,3-epoxy-2,3-dihydrosqualene	InChIKey=QYIMSPSDBYKPPY-RSKUXYSASA-N
(L-leucyl)adenylate	InChIKey=AXWPLGAOCISUCB-OPYVMVOTSA-N
formaldehyde	InChIKey=WSFSSNUMVMOOMR-UHFFFAOYSA-N
5&alpha;-cholesta-8-en-3-one	InChIKey=RZSXSHNNQBIPTL-ZSBATXSLSA-N
L-lysine	InChIKey=KDXKERNSBIXSRK-YFKPBYRVSA-O
xanthosine	InChIKey=UBORTCNDUKBEOP-UUOKFMHZSA-N
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	InChIKey=NOTGFIUVDGNKRI-UUOKFMHZSA-L
2-oleoylglycerol	InChIKey=UPWGQKDVAURUGE-KTKRTIGZSA-N
phytenoyl-CoA	InChIKey=NYZPDFUAZACYOT-PEAQSEFFSA-J
3-deoxy-D-arabino-heptulopyranuronate 7-phosphate	InChIKey=QOYBDYMPWLOFKG-YCHQMNKZSA-K
b-lglc-HEX-1:5|6:a	
2-hydroxy-4-oxobutane-1,2,4-tricarboxylate	InChIKey=RQMCNDRMPZBEOD-UHFFFAOYSA-K
cycloeucalenone	InChIKey=NFRXSIOHGADFRG-MEMZBLDGSA-N
mono-<i>trans</i>,octa-<i>cis</i>-decaprenyl diphosphate	InChIKey=FSCYHDCTHRVSKN-DJNGBRKISA-K
<i>N</i>-acetyl-&alpha;-D-glucosamine 1-phosphate	InChIKey=FZLJPEPAYPUMMR-FMDGEEDCSA-L
3-deoxy-&beta;-D-<i>manno</i>-2-octulosonate	InChIKey=NNLZBVFSCVTSLA-FBXMPTEYSA-M
adenine-ring	
fluconazole	InChIKey=RFHAOTPXVQNOHP-UHFFFAOYSA-N
(7<i>R</i>,8<i>S</i>)-diaminononanoate	InChIKey=KCEGBPIYGIWCDH-JGVFFNPUSA-O
(2E, 4E)-undeca-2,4-dienoyl-CoA	InChIKey=SZKPLUULGGERFD-MSNZEOPQSA-J
1-C16:0-&alpha;,&omega;-dicarboxyl-2-lysophosphatidate	InChIKey=LSETUZAYSCHYKL-QGZVFWFLSA-K
<i>cis</i>-homoaconitate	InChIKey=BJYPZFUWWJSAKC-ARJAWSKDSA-K
&alpha;-D-ribose-1-phosphate	InChIKey=YXJDFQJKERBOBM-TXICZTDVSA-L
arsenite	InChIKey=AQLMHYSWFMLWBS-UHFFFAOYSA-N
(indol-3-yl)acetaldehyde	InChIKey=WHOOUMGHGSPMGR-UHFFFAOYSA-N
<i>N,N',N''</i>-triacetylchitotriose	InChIKey=WZZVUHWLNMNWLW-MEWKLCDLSA-N
&alpha;-D-glucopyranose 1-phosphate	InChIKey=HXXFSFRBOHSIMQ-VFUOTHLCSA-L
glutathione disulfide	InChIKey=YPZRWBKMTBYPTK-BJDJZHNGSA-L
ammonium	InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-O
3-hydroxy-4-methylbenzaldehyde	InChIKey=DHVJHJQBQKKPNB-UHFFFAOYSA-N
an &omega;-saturated C55 dolichol phosphate group	InChIKey=KTGSDHZXAKCYHM-LSTWDCEHSA-L
3-oxoicosanoyl-CoA	InChIKey=FYBVHNZJDVUVLJ-IBYUJNRCSA-J
10-<i>N</i>-nonyl acridine orange	InChIKey=CHKMESCAQLVOQU-UHFFFAOYSA-N
pyridoxal	InChIKey=RADKZDMFGJYCBB-UHFFFAOYSA-N
<i>N</i><sup>6</sup>-(1-deoxy-D-fructos-1-yl)-L-lysine	InChIKey=BFSYFTQDGRDJNV-AYHFEMFVSA-O
(indol-3-yl)acetate	InChIKey=SEOVTRFCIGRIMH-UHFFFAOYSA-M
&alpha;-L-ribulofuranose	InChIKey=LQXVFWRQNMEDEE-VAYJURFESA-N
choline	InChIKey=OEYIOHPDSNJKLS-UHFFFAOYSA-N
phytosphingosine	InChIKey=AERBNCYCJBRYDG-KSZLIROESA-O
&gamma;-L-glutamyl-L-cysteine	InChIKey=RITKHVBHSGLULN-WHFBIAKZSA-M
L-proline	InChIKey=ONIBWKKTOPOVIA-BYPYZUCNSA-N
orotate	InChIKey=PXQPEWDEAKTCGB-UHFFFAOYSA-M
(3<i>R</i>)-3-hydroxycerotoyl-CoA	InChIKey=GBMJOTOUUWGTIA-CSLACTSSSA-J
&gamma;-L-glutamyl-(<i>S</i>)-2-carboxypropyl-L-cysteine	InChIKey=USEJNLPKVXGAOO-ALKRTJFJSA-L
(<i>Z,Z</i>)-biliverdin-IX &alpha;	InChIKey=QBUVFDKTZJNUPP-BBROENKCSA-L
<i>N</i>-(5-phosphoribosyl)-anthranilate	InChIKey=PMFMJXPRNJUYMB-GWOFURMSSA-K
oxalyl-CoA	InChIKey=QVXMZFTWJVBUHP-IBOSZNHHSA-I
(<i>S</i>)-lactate	InChIKey=JVTAAEKCZFNVCJ-REOHCLBHSA-M
(L-methionyl)adenylate	InChIKey=RZQLXQQLNKBFRX-TWBCTODHSA-N
adenosine 2',3'-cyclic monophosphate	InChIKey=KMYWVDDIPVNLME-KQYNXXCUSA-M
(2S,5S)-hexanediol	InChIKey=OHMBHFSEKCCCBW-WDSKDSINSA-N
&alpha;-L-glucopyranose	InChIKey=WQZGKKKJIJFFOK-MDMQIMBFSA-N
(R)-&beta;-hydroxy-L-kynurenine	InChIKey=MEMLLRTVGBILJW-IONNQARKSA-N
L-<i>threo</i>-sphinganine	InChIKey=OTKJDMGTUTTYMP-ROUUACIJSA-O
acetaldehyde	InChIKey=IKHGUXGNUITLKF-UHFFFAOYSA-N
&alpha;-D-galactose 1-phosphate	InChIKey=HXXFSFRBOHSIMQ-FPRJBGLDSA-L
(S)-acetoin	InChIKey=ROWKJAVDOGWPAT-VKHMYHEASA-N
IDP	InChIKey=JPXZQMKKFWMMGK-KQYNXXCUSA-K
xylitol	InChIKey=HEBKCHPVOIAQTA-SCDXWVJYSA-N
(6R)-L-<i>erythro</i>-6,7-dihydrobiopterin	InChIKey=ZHQJVZLJDXWFFX-RPDRRWSUSA-N
oxythiamine	InChIKey=SRDGSXVLAVRBLU-UHFFFAOYSA-O
CI 976	InChIKey=WAFNZAURAWBNDZ-UHFFFAOYSA-N
2-chloro-<i>trans</i>-dienelactone	InChIKey=ADSGHWJRPOXXTD-NSCUHMNNSA-M
2-hydroxy-2-methylpropanenitrile	InChIKey=MWFMGBPGAXYFAR-UHFFFAOYSA-N
2-<i>trans</i>,6-<i>cis</i>-tridecadienoyl-CoA	InChIKey=OOSDLBAXVXKFIB-GTUBXKNVSA-J
ethylene glycol	InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N
phenylarsine oxide	InChIKey=BQVCCPGCDUSGOE-UHFFFAOYSA-N
nicotinamide	InChIKey=DFPAKSUCGFBDDF-UHFFFAOYSA-N
&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-glucosaminylamine	InChIKey=CBRCWZPEYRVZSO-ZGFWTNSWSA-O
sulfate	InChIKey=QAOWNCQODCNURD-UHFFFAOYSA-L
kynurenate	InChIKey=HCZHHEIFKROPDY-UHFFFAOYSA-L
5-acetamidovalerate	InChIKey=TZZSWAXSIGWXOS-UHFFFAOYSA-M
4-guanidinobutanoate	InChIKey=TUHVEAJXIMEOSA-UHFFFAOYSA-N
CDP-ethanolamine	InChIKey=WVIMUEUQJFPNDK-PEBGCTIMSA-M
2-<i>all trans</i>-hexaprenyl-6-methoxyaminobenzene	InChIKey=JGVGCZFKHHNOKU-DUBIXASGSA-N
L-glutamine	InChIKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N
a [1-Cys peroxiredoxin]-(<i>S</i>-hydroxycysteine)	
2,3-didehydro-L-gulonate	InChIKey=GJQWCDSAOUMKSE-STHAYSLISA-M
3,5-bisdiphosphoinositol-1D-<i>myo</i>-inositol 2,3,4,6-tetrakisphosphate	InChIKey=HHQOOERQSFJGEP-ZSIQDKGESA-A
3-methylbut-3-en-1-yl diphosphate	InChIKey=NUHSROFQTUXZQQ-UHFFFAOYSA-K
L-kynurenine	InChIKey=YGPSJZOEDVAXAB-QMMMGPOBSA-N
&alpha;-D-idopyranuronate	InChIKey=AEMOLEFTQBMNLQ-CLQWQSTFSA-M
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	InChIKey=XFVULMDJZXYMSG-ZIYNGMLESA-K
cyclic- 3,4-<i>O</i>-oxalyl-L-threonate	InChIKey=FTDFTFXOJYXVTH-UHFFFAOYSA-M
2-<i>trans</i>-6-<i>trans</i>-tridecadienoyl-CoA	InChIKey=OOSDLBAXVXKFIB-BJBRNGJVSA-J
methylarsonic acid	InChIKey=QYPPRTNMGCREIM-UHFFFAOYSA-N
hydroxyacetone	InChIKey=XLSMFKSTNGKWQX-UHFFFAOYSA-N
nt-pentose-ring	
&beta;-alanine	InChIKey=UCMIRNVEIXFBKS-UHFFFAOYSA-N
&alpha;-L-xylopyranose	InChIKey=SRBFZHDQGSBBOR-SKNVOMKLSA-N
(L-lysyl)adenylate	InChIKey=RZWIOOBQBMRZTQ-OPYVMVOTSA-O
acetamide	InChIKey=DLFVBJFMPXGRIB-UHFFFAOYSA-N
&alpha;-D-mannose 1-phosphate	InChIKey=HXXFSFRBOHSIMQ-RWOPYEJCSA-L
L-homocysteine	InChIKey=FFFHZYDWPBMWHY-VKHMYHEASA-N
ethyl octanoate	InChIKey=YYZUSRORWSJGET-UHFFFAOYSA-N
glycerol	InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N
dATP	InChIKey=SUYVUBYJARFZHO-RRKCRQDMSA-J
hydrogen peroxide	InChIKey=MHAJPDPJQMAIIY-UHFFFAOYSA-N
2-<i>trans</i>-nonenoyl-CoA	InChIKey=HBLOTZDYPZAZLE-OWQWVSLFSA-J
D-gluconate	InChIKey=RGHNJXZEOKUKBD-SQOUGZDYSA-M
x-dman-HEX-1:5	
(L-phenylalanyl)adenylate	InChIKey=ZFNOOEXYTZPIQS-URQYDQELSA-N
3-hydroxypentan-2-one	InChIKey=HDKKRASBPHFULQ-UHFFFAOYSA-N
(8<i>S</i>)-8-amino-7-oxononanoate	InChIKey=GUAHPAJOXVYFON-ZETCQYMHSA-N
myristoyl-CoA	InChIKey=DUAFKXOFBZQTQE-QSGBVPJFSA-J
(3E)-tetradec-3-enoyl-CoA	InChIKey=SSOCUKXLUZQJHU-CTFJFIKLSA-J
<i>sn</i>-glycero-3-phosphoethanolamine	InChIKey=JZNWSCPGTDBMEW-RXMQYKEDSA-N
&alpha;-L-rhamnopyranose	InChIKey=SHZGCJCMOBCMKK-HGVZOGFYSA-N
<i>N</i>-ethylmaleimide	InChIKey=HDFGOPSGAURCEO-UHFFFAOYSA-N
formyl-CoA	InChIKey=SXMOKYXNAPLNCW-GORZOVPNSA-J
5-(methylsulfanyl)-2,3-dioxopentyl 1-phosphate	InChIKey=HKEAOVFNWRDVAJ-UHFFFAOYSA-L
benzyl alcohol	InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N
glycerone phosphate	InChIKey=GNGACRATGGDKBX-UHFFFAOYSA-L
(L-tryptophanyl)adenylate	InChIKey=IFQVDHDRFCKAAW-SQIXAUHQSA-N
x-dman-HEX-1:4	
2-[(2<i>R</i>,5<i>Z</i>)-2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene]ethyl phosphate	InChIKey=PQMCQNOVNFNPFJ-HYIMLASBSA-K
4&alpha;-methyl-5&alpha;-cholest-7-en-3&beta;-ol	InChIKey=LMYZQUNLYGJIHI-SPONXPENSA-N
octyl &beta;-D-glucopyranoside	InChIKey=HEGSGKPQLMEBJL-RKQHYHRCSA-N
D-glucono-1,5-lactone	InChIKey=PHOQVHQSTUBQQK-SQOUGZDYSA-N
pentose-ring	
24-methylenecycloartanol	InChIKey=BDHQMRXFDYJGII-UEBIAWITSA-N
x-lgal-HEX-1:5	
<i>(S)</i>-lactic acid	InChIKey=JVTAAEKCZFNVCJ-REOHCLBHSA-N
15,16-DiHODE	InChIKey=LKLLJYJTYPVCID-OHPMOLHNSA-M
oleate	InChIKey=ZQPPMHVWECSIRJ-KTKRTIGZSA-M
acrylamide	InChIKey=HRPVXLWXLXDGHG-UHFFFAOYSA-N
D-mannitol	InChIKey=FBPFZTCFMRRESA-KVTDHHQDSA-N
1-(18-hydroxyoleoyl)-<i>sn</i>-glycrol 3-phosphate	InChIKey=GFJKJLHWWZXDAU-KXFGNQBASA-L
6-<i>trans</i>-3-oxo-tridecenoyl-CoA	InChIKey=FDXHXLPCLXEYSU-HMXWSVNBSA-J
L-leucine	InChIKey=ROHFNLRQFUQHCH-YFKPBYRVSA-N
<i>trans</i>-lignocer-2-enoyl-CoA	InChIKey=UVJKZCSQLMWPMV-LQJAWXTISA-J
1-(&beta;-D ribofuranosyl)nicotinamide	InChIKey=JLEBZPBDRKPWTD-TURQNECASA-O
2-<i>all trans</i>-hexaprenyl-6-methoxyphenol	InChIKey=WVPRAWNIVDFQBO-DUBIXASGSA-N
phospho<i>enol</i>pyruvate	InChIKey=DTBNBXWJWCWCIK-UHFFFAOYSA-K
hexadecanedioyl-CoA	InChIKey=GTCSHNMTNCXODY-CCAJQFMUSA-I
a thiol group	
2-dehydropantoate	InChIKey=PKVVTUWHANFMQC-UHFFFAOYSA-M
5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole	InChIKey=NAQGHJTUZRHGAC-LBGUGVGYSA-J
thiocyanate	InChIKey=ZMZDMBWJUHKJPS-UHFFFAOYSA-M
D-sedoheptulose 1,7-bisphosphate	InChIKey=OKHXOUGRECCASI-SHUUEZRQSA-J
(<i>E</i>)-(4-aminobutylidene)(3-aminopropyl)amine	InChIKey=YAVLYBVKPXLZEQ-UXBLZVDNSA-Q
antimonous acid	InChIKey=SZOADBKOANDULT-UHFFFAOYSA-K
pentadecanoyl-CoA	InChIKey=VLBCUOVMSMAIJC-VTINEICCSA-J
glucosyl-oleandomycin	InChIKey=DGXXZLIJQKOLQC-GZFACOMDSA-O
octanoate	InChIKey=WWZKQHOCKIZLMA-UHFFFAOYSA-M
2-phospho-D-glycerate	InChIKey=GXIURPTVHJPJLF-UWTATZPHSA-K
1,2-butanediol	InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N
sulfoacetate	InChIKey=AGGIJOLULBJGTQ-UHFFFAOYSA-L
RX	
x-dara-PEN-1:4	
4-nitrobenzyl alcohol	InChIKey=JKTYGPATCNUWKN-UHFFFAOYSA-N
enol-oxaloacetate	InChIKey=UWYVPFMHMJIBHE-UPHRSURJSA-L
1-(5-phospho-&beta;-D-ribosyl)-AMP	InChIKey=RTQMRTSPTLIIHM-KEOHHSTQSA-J
citrate	InChIKey=KRKNYBCHXYNGOX-UHFFFAOYSA-K
D-erythrose 4-phosphate	InChIKey=NGHMDNPXVRFFGS-IUYQGCFVSA-L
1-palmitoyl-<i>sn</i>-glycerol	InChIKey=QHZLMUACJMDIAE-SFHVURJKSA-N
C<sub>20</sub> 3-dehydrosphinganine	InChIKey=FVOLNXKBISLPQY-IBGZPJMESA-O
&alpha;-D-mannopyranose	InChIKey=WQZGKKKJIJFFOK-PQMKYFCFSA-N
a-HEX-1:5	
(<i>R</i>)-mevalonate	InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M
<i>S</i>-(hydroxymethyl)glutathione	InChIKey=PIUSLWSYOYFRFR-BQBZGAKWSA-M
phosphoinositol-&alpha;-mannoside	InChIKey=RKBZSOHCWNFBLV-AMEHKVJOSA-L
1D-<i>myo</i>-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate	InChIKey=HHQOOERQSFJGEP-SLWYWOEDSA-A
pyrithiamine	InChIKey=UZLPMHGCXVJFGY-UHFFFAOYSA-N
protocatechuate	InChIKey=YQUVCSBJEUQKSH-UHFFFAOYSA-M
4-vinylguaiacol	InChIKey=YOMSJEATGXXYPX-UHFFFAOYSA-N
ergosterol 3-O-&beta;-D-glucoside	InChIKey=MKZPNGBJJJZJMI-GBLVNJONSA-N
b-dman-HEX-1:5|6:d	
a-dman-HEX-1:5	
(<i>S</i>)-1-pyrroline-5-carboxylate	InChIKey=DWAKNKKXGALPNW-BYPYZUCNSA-M
&gamma;-L-glutamyl-(<i>S</i>)-methyl-L-cysteine	InChIKey=UPCDLBPYWXOCOK-WDSKDSINSA-M
2-phenylethanol	InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N
GLYCO-CT-METHYL	
Na<SUP>+</SUP>	InChIKey=FKNQFGJONOIPTF-UHFFFAOYSA-N
1-methylnicotinamide	InChIKey=LDHMAVIPBRSVRG-UHFFFAOYSA-O
L-arginine	InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O
(3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate	InChIKey=MZJFVXDTNBHTKZ-UWTATZPHSA-K
5-deoxy-&alpha;-D-ribose 1-phosphate	InChIKey=XXQFKXPJJNBLSU-TXICZTDVSA-L
5-methylcytosine	InChIKey=LRSASMSXMSNRBT-UHFFFAOYSA-N
3-<i>all trans</i>-hexaprenyl-4,5-dihydroxybenzoate	InChIKey=VEPICJBQCOUQPI-IRVXXIIISA-M
<i>O</i>-acetyl-L-homoserine	InChIKey=FCXZBWSIAGGPCB-YFKPBYRVSA-N
2-methylbutanol	InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N
&alpha;-hydroxyheme	InChIKey=QIKCVSLEZBFGCU-CEPNNTPPSA-J
4&alpha;-methyl-5&alpha;-cholesta-8-en-3-one	InChIKey=SDZUXFFGOQZLPK-SINUOACOSA-N
nicotinate	InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-M
(<i>R</i>)-3-(4-hydroxyphenyl)lactoyl-CoA	InChIKey=GIITZIBVBMYMGJ-NHZRKUKBSA-J
acetyl-CoA	InChIKey=ZSLZBFCDCINBPY-ZSJPKINUSA-J
(3<i>S</i>)-3-hydroxy-L-aspartate	InChIKey=YYLQUHNPNCGKJQ-LWMBPPNESA-M
1-(<i>sn</i>-glycero-3-phospho)-1D-myo-inositol	InChIKey=BMVUIWJCUQSHLZ-UJGXJMNGSA-M
(3R)-hydroxy-undecanoyl-CoA	InChIKey=JIOGXINZSOQEGE-MAWALYKISA-J
b-dara-HEX-2:5|2:keto	
3-hydroxybenzaldehyde	InChIKey=IAVREABSGIHHMO-UHFFFAOYSA-N
3'-dephospho-CoA	InChIKey=KDTSHFARGAKYJN-IBOSZNHHSA-L
1-(5-phospho-&beta;-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	InChIKey=QOUSHGMTBIIAHR-KEOHHSTQSA-J
arachidonate	InChIKey=YZXBAPSDXZZRGB-DOFZRALJSA-M
5-chloro-<i>trans</i>-dienelactone	InChIKey=AFKYGJZZMYXBLV-HWKANZROSA-M
2-(glutathion-<i>S</i>-yl)-propene	InChIKey=HYWLPDOKCGRIQZ-IUCAKERBSA-M
(2E)-undec-2-enoyl-CoA	InChIKey=CAVMKINPGRCURL-PHHHIDLGSA-J
[polyketide synthase acyl-carrier protein]-group	
a-xgal-HEX-1:5|6:a	
siroheme	InChIKey=DLKSSIHHLYNIKN-QIISWYHFSA-D
D-glycerate	InChIKey=RBNPOMFGQQGHHO-UWTATZPHSA-M
Cu<sup>II</sup>-phytate	InChIKey=ARWMRCBCVDYYON-ZLVNENNRSA-B
&beta;-D-mannuronate	InChIKey=AEMOLEFTQBMNLQ-SYJWYVCOSA-M
GLYCO-CT-PHOSPHATE	
b-lgal-HEX-1:5	
1-oleoyl-2-palmitoyl-phosphatidylglycerol	InChIKey=GTCKEWVHTGGUSN-HGWHEPCSSA-M
2-14:1-lysophosphatidylglycerol	InChIKey=ACWLYYNLRJOYRA-ZYHOBAKYSA-M
(3Z,5E)-dodec-3,5-dienoyl-CoA	InChIKey=ARQUZFJQPYWSSL-NBLUIMTHSA-J
D-ribulose 5-phosphate	InChIKey=FNZLKVNUWIIPSJ-UHNVWZDZSA-L
(3R)-hydroxy, 6-<i>cis</i>-tridecenoyl-CoA	InChIKey=ADZJVTNIXNSNGU-UKOYHULUSA-J
coniferyl alcohol	InChIKey=JMFRWRFFLBVWSI-NSCUHMNNSA-N
oxidized DCPIP	InChIKey=CCBICDLNWJRFPO-UHFFFAOYSA-N
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate	InChIKey=JAZBEHYOTPTENJ-JLNKQSITSA-M
cyanamide	InChIKey=XZMCDFZZKTWFGF-UHFFFAOYSA-N
D-arabinono-1,4-lactone	InChIKey=CUOKHACJLGPRHD-JJYYJPOSSA-N
<i>keto</i>-L-sorbose	InChIKey=BJHIKXHVCXFQLS-OTWZMJIISA-N
x-dxyl-PEN-1:5	
prenyl phosphate	InChIKey=MQCJHQBRIPSIKA-UHFFFAOYSA-L
4-methylbenzyl alcohol	InChIKey=KMTDMTZBNYGUNX-UHFFFAOYSA-N
<i>p</i>-chloromercuribenzoate	InChIKey=YFZOUMNUDGGHIW-UHFFFAOYSA-L
(L-tryrosyl)adenylate	InChIKey=NFCVQVDMLQEZAK-URQYDQELSA-N
<i>N,N</i>-dimethylaniline-<i>N</i>-oxide	InChIKey=LKQUDAOAMBKKQW-UHFFFAOYSA-N
<i>N</i><SUP>1</SUP>-acetylspermidine	InChIKey=MQTAVJHICJWXBR-UHFFFAOYSA-P
zymostenol	InChIKey=QETLKNDKQOXZRP-XTGBIJOFSA-N
dCDP	InChIKey=FTDHDKPUHBLBTL-SHYZEUOFSA-K
hydroxyl radical	InChIKey=TUJKJAMUKRIRHC-UHFFFAOYSA-N
(indol-3-yl)ethanol	InChIKey=MBBOMCVGYCRMEA-UHFFFAOYSA-N
(6<i>R</i>)-L-<i>erythro</i>-5,6,7,8-tetrahydrobiopterin	InChIKey=FNKQXYHWGSIFBK-RPDRRWSUSA-N
diphosphate	InChIKey=XPPKVPWEQAFLFU-UHFFFAOYSA-K
di-homo-&gamma;-linolenate	InChIKey=HOBAELRKJCKHQD-QNEBEIHSSA-M
hydrosulfide	InChIKey=RWSOTUBLDIXVET-UHFFFAOYSA-M
(indol-3-yl)acetonitrile	InChIKey=DMCPFOBLJMLSNX-UHFFFAOYSA-N
<i>trans</i>-cinnamate	InChIKey=WBYWAXJHAXSJNI-VOTSOKGWSA-M
12,13-DiHODE	InChIKey=RGRKFKRAFZJQMS-OOHFSOINSA-M
a-lxyl-PEN-1:5	
3-oxopropanoate	InChIKey=OAKURXIZZOAYBC-UHFFFAOYSA-M
octanoyl-CoA	InChIKey=KQMZYOXOBSXMII-CECATXLMSA-J
5-<i>cis</i>, 7-<i>trans</i>-3-oxo-tetradecadienoyl-CoA	InChIKey=NJXBFCFHVUIEMZ-QTJPLKLFSA-J
